,Car Name,Making Year,Registration year,Fule,km_driven,Engine_Displacement,No_Of_Owner,RTO,Transmission,Insurance_Type,Current_Price,Avg_market_price,New_Car_Road_Price,Mileage,Seats,Color,Engine,Max_Power,Torque
931,2018 Hyundai Creta,2018,Mar-18,Diesel,68110,1396 cc,1st Owner,DL2C,Manual,Third Party insurance,895500,940275,1138393,22.1 kmpl,5,White,1396 CC,88.7bhp,219.7Nm
932,2011 Maruti Wagon R,2011,Nov-11,Petrol,11141,998 cc,1st Owner,HR26,Manual,Third Party insurance,242500,254625,481593,20.51 kmpl,5,Silver,998 CC,67.04bhp,90Nm
933,2014 Honda City,2014,May-14,Petrol,89037,1497 cc,1st Owner,DL09,Manual,Third Party insurance,583000,612150,1209781,17.4 kmpl,15,5,1497 CC,117.3bhp,145Nm
934,2011 Toyota Corolla Altis,2011,Jul-11,Petrol,94280,1794 cc,2nd Owner,DL4C,Automatic,Third Party insurance,360000,378000,1755940,14.53 kmpl,15,5,1794 CC,138.1bhp,173Nm
935,2017 Maruti Wagon R,2016,Jan-17,Petrol,65069,998 cc,1st Owner,DL14,Manual,Not Available,314500,330225,453597,20.51 kmpl,5,White,998 CC,67.04bhp,90Nm
936,2019 Mahindra XUV300,2019,Jul-19,Diesel,91793,1497 cc,1st Owner,HR26,Manual,Third Party insurance,946500,993825,1440240,20 kmpl,17,5,1497 CC,115bhp,300Nm
937,2017 Volkswagen Ameo,2016,Mar-17,Petrol,46846,1198 cc,1st Owner,DL12,Manual,Third Party insurance,390000,409500,816801,17 kmpl,15,5,1198 CC,73.75bhp,110Nm
938,2013 Hyundai i10,2013,Jul-13,Petrol,44890,1197 cc,2nd Owner,DL3C,Manual,Third Party insurance,260000,273000,527676,20.36 kmpl,13,5,1197 CC,78.9bhp,111.7Nm
939,2010 Hyundai i10,2010,Jul-10,Petrol,77501,1086 cc,1st Owner,HR20,Manual,Third Party insurance,146500,153825,467592,19.81 kmpl,5,Grey,1086 CC,68.05bhp,99.04Nm
940,2010 Maruti Wagon R,2010,Dec-10,Petrol,87642,998 cc,1st Owner,UP14,Manual,Third Party insurance,170000,178500,507140,20.51 kmpl,5,Grey,998 CC,67.04bhp,90Nm
941,2017 Maruti Wagon R,2016,Jan-17,Petrol,46742,998 cc,1st Owner,DL5C,Manual,Third Party insurance,300000,315000,477957,20.51 kmpl,5,Silver,998 CC,67.04bhp,90Nm
942,2016 Maruti Wagon R,2016,Dec-16,Petrol,19718,998 cc,1st Owner,HR51,Automatic,Third Party insurance,378500,397425,567325,20.51 kmpl,5,White,998 CC,67bhp,90Nm
943,2014 Honda City,2014,May-14,Petrol,89037,1497 cc,1st Owner,DL09,Manual,Third Party insurance,583000,612150,1209781,17.4 kmpl,15,5,1497 CC,117.3bhp,145Nm
944,2016 Renault KWID,2015,Feb-16,Petrol,80036,799 cc,2nd Owner,UP16,Manual,Third Party insurance,198500,208425,419592,25.17 kmpl,5,Silver,799 CC,53.3bhp,72Nm
945,2015 Maruti Swift,2015,Apr-15,Diesel,72786,1248 cc,1st Owner,DL3C,Manual,Third Party insurance,369000,387450,686575,25.2 kmpl,5,Other,1248 CC,74bhp,190Nm
946,2013 Maruti Swift Dzire,2013,Mar-13,Diesel,67394,1248 cc,2nd Owner,DL1C,Manual,Not Available,409000,429450,858381,23.4 kmpl,15,5,1248 CC,74bhp,190Nm
947,2017 Volkswagen Ameo,2016,Mar-17,Petrol,46846,1198 cc,1st Owner,DL12,Manual,Third Party insurance,390000,409500,816801,17 kmpl,15,5,1198 CC,73.75bhp,110Nm
948,2017 Hyundai i20,2017,Jul-17,Petrol,52938,1197 cc,1st Owner,DL4C,Manual,Third Party insurance,540000,567000,742655,18.6 kmpl,5,White,1197 CC,81.83bhp,114.7Nm
949,2015 Honda City,2015,May-15,Diesel,12281,1498 cc,1st Owner,DL9C,Manual,Third Party insurance,460000,483000,1318912,26 kmpl,15,5,1498 CC,98.6bhp,200Nm
950,2017 Maruti Wagon R,2017,May-17,Petrol,26892,998 cc,1st Owner,DL12,Manual,Third Party insurance,475000,498750,481593,20.51 kmpl,5,Other,998 CC,67.04bhp,90Nm
951,2011 Maruti Wagon R,2011,Nov-11,Petrol,11141,998 cc,1st Owner,HR26,Manual,Third Party insurance,242500,254625,481593,20.51 kmpl,5,Silver,998 CC,67.04bhp,90Nm
952,2013 Maruti Wagon R,2013,Mar-13,Petrol,52784,998 cc,1st Owner,HR26,Manual,Third Party insurance,299500,314475,567187,21.79 kmpl,5,Grey,998 CC,67.05bhp,90Nm
953,2018 Maruti Vitara Brezza,2018,Jun-18,Diesel,60627,1248 cc,1st Owner,HR51,Manual,Third Party insurance,754000,791700,919441,24.3 kmpl,5,Grey,1248 CC,88.5bhp,200Nm
954,2019 Mahindra XUV300,2019,Jul-19,Diesel,91793,1497 cc,1st Owner,HR26,Manual,Third Party insurance,946500,993825,1440240,20 kmpl,17,5,1497 CC,115bhp,300Nm
955,2017 Maruti Swift,2017,Dec-17,Petrol,25165,1197 cc,1st Owner,DL9C,Manual,Third Party insurance,436205,458015,573484,20.4 kmpl,5,Silver,1197 CC,83.11bhp,113Nm
956,2013 Nissan Sunny,2013,May-13,Diesel,54251,1461 cc,1st Owner,DL8C,Manual,Third Party insurance,230000,241500,958301,21.64 kmpl,14,5,1461 CC,84.8bhp,200Nm
957,2015 Honda Mobilio,2014,Jun-15,Petrol,10913,1497 cc,1st Owner,DL01,Manual,Third Party insurance,470500,494025,1070701,17.3 kmpl,15,7,1497 CC,117.3bhp,145Nm
958,2017 Maruti Ciaz,2017,May-17,Petrol,60437,1373 cc,1st Owner,DL10,Automatic,Not Available,692500,727125,1234550,19.12 kmpl,16,5,1373 CC,91.1bhp,130Nm
959,2010 Maruti Wagon R,2010,Dec-10,Petrol,87642,998 cc,1st Owner,UP14,Manual,Third Party insurance,170000,178500,507140,20.51 kmpl,5,Grey,998 CC,67.04bhp,90Nm
960,2017 Hyundai Creta,2017,May-17,Diesel,39977,1396 cc,1st Owner,DL8C,Manual,Third Party insurance,837000,878850,1138393,22.1 kmpl,5,Other,1396 CC,88.7bhp,219.7Nm
961,2019 Mahindra XUV300,2019,Jul-19,Diesel,71719,1497 cc,1st Owner,DL2C,Manual,Third Party insurance,844500,886725,1121838,20 kmpl,5,Other,1497 CC,115bhp,300Nm
962,2016 Maruti Wagon R,2016,Dec-16,Petrol,19718,998 cc,1st Owner,HR51,Automatic,Third Party insurance,378500,397425,567325,20.51 kmpl,5,White,998 CC,67bhp,90Nm
963,2017 Maruti Swift,2017,Dec-17,Petrol,25165,1197 cc,1st Owner,DL9C,Manual,Third Party insurance,436205,458015,573484,20.4 kmpl,5,Silver,1197 CC,83.11bhp,113Nm
964,2017 Maruti Wagon R,2017,May-17,Petrol,26892,998 cc,1st Owner,DL12,Manual,Third Party insurance,475000,498750,481593,20.51 kmpl,5,Other,998 CC,67.04bhp,90Nm
965,2014 Mahindra Thar,2014,Mar-14,Diesel,45495,2498 cc,1st Owner,DL12,Manual,Third Party insurance,700000,735000,902069,16.55 kmpl,7,Other,2498 CC,105bhp,247Nm
966,2018 Maruti Ciaz,2018,Jun-18,Petrol,57902,1373 cc,1st Owner,DL2C,Manual,Third Party insurance,724500,760725,864468,20.73 kmpl,5,White,1373 CC,91.1bhp,130Nm
967,2011 Hyundai Santro Xing,2011,Mar-11,Petrol,26900,1086 cc,1st Owner,DL2C,Manual,Third Party insurance,196000,205800,422860,17.92 kmpl,13,5,1086 CC,62.1bhp,96.1Nm
968,2018 Maruti Wagon R,2018,Dec-18,Petrol,42791,998 cc,2nd Owner,HR30,Manual,Third Party insurance,364500,382725,577212,21.79 kmpl,5,Silver,998 CC,67.05bhp,90Nm
969,2016 Maruti Wagon R,2016,Jun-16,Petrol,11574,998 cc,1st Owner,HR51,Manual,Third Party insurance,354750,372488,577212,21.79 kmpl,5,Grey,998 CC,67.05bhp,90Nm
970,2015 Honda Mobilio,2014,Jun-15,Petrol,10913,1497 cc,1st Owner,DL01,Manual,Third Party insurance,470500,494025,1070701,17.3 kmpl,15,7,1497 CC,117.3bhp,145Nm
971,2015 Hyundai Creta,2015,Sep-15,Diesel,11910,1582 cc,1st Owner,HR51,Manual,Third Party insurance,770000,808500,1575250,19.67 kmpl,16,5,1582 CC,126.2bhp,259.9Nm
972,2016 Maruti Baleno,2016,Jul-16,Petrol,60078,1197 cc,1st Owner,DL2C,Manual,Third Party insurance,549000,576450,721292,21.4 kmpl,16,5,1197 CC,83.1bhp,115Nm
973,2012 Maruti Alto,2012,Jul-12,Petrol,28123,796 cc,1st Owner,DL3C,Manual,Third Party insurance,185000,194250,320915,19.7 kmpl,12,5,796 CC,46.3bhp,62Nm
974,2013 Toyota Innova,2013,Jul-13,Diesel,11500,2494 cc,2nd Owner,DL3C,Manual,Third Party insurance,500000,525000,1496144,12.99 kmpl,15,7,2494 CC,100bhp,200Nm
975,2014 Mahindra XUV500,2014,Apr-14,Diesel,55405,2179 cc,1st Owner,DL10,Manual,Not Available,535500,562275,1635015,16 kmpl,7,Silver,2179 CC,140bhp,330Nm
