,Car Name,Making Year,Registration year,Fule,km_driven,Engine_Displacement,No_Of_Owner,RTO,Transmission,Insurance_Type,Current_Price,Avg_market_price,New_Car_Road_Price,Mileage,Seats,Color,Engine,Max_Power,Torque
0,2019 Mahindra XUV500,2019,Mar-19,Diesel,59803,2179 cc,1st Owner,DL12,Manual,Third Party insurance,1186000,1245300,1699700,15.1 kmpl,12345671,Other,2179 CC,152.87bhp,360Nm
1,2016 Maruti Alto K10,2016,Mar-16,CNG,59902,998 cc,1st Owner,UP16,Manual,Third Party insurance,280000,294000,497476,32.26 kmpl,4,Grey,998 CC,58.3bhp,78Nm
2,2017 Maruti Eeco,2017,Feb-17,CNG,47479,1196 cc,1st Owner,DL4C,Manual,Third Party insurance,338500,355425,544727,21.94 km/kg,5,Other,1196 CC,61.7bhp,85Nm
3,2018 Maruti Baleno,2018,Nov-18,Petrol,43228,1197 cc,1st Owner,UP16,Manual,Third Party insurance,600500,630525,840597,21.01 kmpl,R16,5,1197 CC,81.80bhp,113Nm
4,2015 Maruti Swift,2015,Feb-15,Diesel,43951,1248 cc,1st Owner,DL5C,Manual,Third Party insurance,430500,452025,798110,28.4 kmpl,5,Other,1248 CC,74bhp,190Nm
5,2017 Maruti Ciaz,2017,Oct-17,Petrol,46696,1373 cc,1st Owner,HR26,Manual,Not Available,704000,739200,910329,20.73 kmpl,5,Other,1373 CC,91.1bhp,130Nm
6,2012 Hyundai i10,2012,Jul-12,Petrol,76591,1197 cc,2nd Owner,DL6C,Manual,Third Party insurance,240000,252000,508741,20.36 kmpl,13,5,1197 CC,78.9bhp,111.7Nm
7,2019 Hyundai Grand i10,2019,Apr-19,Petrol,11004,1197 cc,2nd Owner,DL7C,Manual,Third Party insurance,444000,466200,547789,17 kmpl,5,Other,1197 CC,81.86bhp,113.75Nm
8,2018 Renault Duster,2018,Apr-18,Diesel,16913,1461 cc,1st Owner,HR51,Manual,Third Party insurance,708500,743925,1048147,19.87 kmpl,5,Other,1461 CC,83.8bhp,200Nm
9,2015 Maruti Swift Dzire,2015,Dec-15,Diesel,25433,1248 cc,1st Owner,HR26,Manual,Third Party insurance,587000,616350,803064,26.59 kmpl,5,White,1248 CC,74bhp,190Nm
10,2018 Maruti Vitara Brezza,2018,Feb-18,Diesel,56904,1248 cc,1st Owner,DL2C,Manual,Third Party insurance,687500,721875,884878,24.3 kmpl,5,Other,1248 CC,88.5bhp,200Nm
11,2015 Maruti Ciaz,2015,Dec-15,Diesel,11847,1248 cc,1st Owner,DL1C,Manual,Third Party insurance,499500,524475,938671,28.09 kmpl,5,Other,1248 CC,88.5bhp,200Nm
12,2014 Ford Ecosport,2014,Jul-14,Diesel,85420,1498 cc,1st Owner,DL12,Manual,Third Party insurance,462500,485625,1137277,21.7 kmpl,R16,5,1498 CC,98.96bhp,215Nm
13,2019 Renault KWID,2018,Jan-19,Petrol,10287,799 cc,1st Owner,HR29,Manual,Third Party insurance,350000,367500,439535,25.17 kmpl,5,Red,799 CC,53.3bhp,72Nm
19,2017 Maruti Baleno,2017,Mar-17,Petrol,23251,1197 cc,1st Owner,2 2022,Automatic,Manual,630500,662025,721292,21.4 kmpl,16,5,1197 CC,83.1bhp,115Nm
20,2016 Mahindra KUV 100,2016,Mar-16,Diesel,56868,1198 cc,1st Owner,HR35,Manual,Not Available,398500,418425,898738,25.32 kmpl,15,6,1198 CC,77bhp,190Nm
21,2012 Hyundai Verna,2012,Dec-12,Petrol,56868,1591 cc,1st Owner,HR26,Manual,Third Party insurance,363500,381675,1194501,17.01 kmpl,16,5,1591 CC,121.3bhp,154.9Nm
22,2016 Maruti Ciaz,2016,May-16,Diesel,56868,1248 cc,1st Owner,HR51,Manual,Third Party insurance,562000,590100,1164393,28.09 kmpl,16,5,1248 CC,88.5bhp,200Nm
23,2015 Hyundai Grand i10,2015,Dec-15,Petrol,70011,1197 cc,2nd Owner,HR26,Manual,Third Party insurance,360500,378525,657673,18.9 kmpl,5,White,1197 CC,81.86bhp,113.75nm
24,2014 Maruti Swift Dzire,2014,Jun-14,Diesel,64752,1248 cc,1st Owner,DL8C,Manual,Third Party insurance,410500,431025,772281,23.4 kmpl,14,5,1248 CC,74bhp,190Nm
25,2017 Maruti Baleno,2017,Oct-17,Petrol,35289,1197 cc,1st Owner,DL9C,Manual,Third Party insurance,594186,623895,701952,21.4 kmpl,5,Grey,1197 CC,83.1bhp,115Nm
26,2014 Maruti Swift,2014,Jul-14,Diesel,33229,1248 cc,1st Owner,DL03,Manual,Third Party insurance,451500,474075,737717,25.2 kmpl,5,Grey,1248 CC,74bhp,190Nm
27,2019 Maruti Baleno,2019,Nov-19,Diesel,27963,1248 cc,1st Owner,1 2022,Automatic,Manual,681000,715050,800395,27.39 kmpl,5,Grey,1248 CC,74bhp,190Nm
28,2015 Hyundai Grand i10,2015,Jul-15,Petrol,40307,1197 cc,1st Owner,DL12,Manual,Third Party insurance,427870,449264,618849,18.9 kmpl,5,White,1197 CC,82bhp,114Nm
29,2017 Renault KWID,2016,Jan-17,Petrol,32933,999 cc,1st Owner,HR29,Manual,Third Party insurance,260000,273000,487006,23.01 kmpl,5,White,999 CC,67bhp,91Nm
30,2018 Maruti Baleno,2018,Mar-18,Petrol,17985,1197 cc,1st Owner,DL14,Manual,Third Party insurance,594000,623700,622370,21.4 kmpl,5,Other,1197 CC,83.1bhp,115Nm
31,2018 Hyundai i20,2018,Nov-18,Petrol,33322,1197 cc,1st Owner,DL07,Manual,Third Party insurance,617000,647850,657576,18.6 kmpl,5,Red,1197 CC,81.83bhp,114.7Nm
32,2015 Maruti Swift Dzire,2014,Jan-15,Diesel,82471,1248 cc,1st Owner,DL9C,Manual,Third Party insurance,513500,539175,824977,26.59 kmpl,5,Other,1248 CC,74bhp,190Nm
33,2019 Maruti Swift,2019,Nov-19,Petrol,23742,1197 cc,1st Owner,HR26,Manual,Third Party insurance,490000,514500,646778,23.2 kmpl,5,Other,1197 CC,88.50bhp,113Nm
34,2015 Maruti Swift,2015,Feb-15,Diesel,89046,1248 cc,1st Owner,DL12,Manual,Third Party insurance,430000,451500,737717,25.2 kmpl,5,Other,1248 CC,74bhp,190Nm
35,2017 Maruti Swift,2017,Oct-17,Diesel,77503,1248 cc,1st Owner,UP14,Manual,Third Party insurance,491500,516075,790410,28.4 kmpl,5,Other,1248 CC,74bhp,190Nm
36,2017 Hyundai i20,2017,May-17,Petrol,18692,1197 cc,1st Owner,DL08,Manual,Third Party insurance,616000,646800,657576,18.6 kmpl,5,White,1197 CC,81.83bhp,114.7Nm
37,2011 Hyundai i20,2011,Nov-11,Petrol,48347,1197 cc,1st Owner,DL4C,Manual,Not Available,300000,315000,644986,17 kmpl,14,5,1197 CC,80 PS at 5200 rpm,"11.4 kgm at 4,000 rpm"
38,2017 Maruti Baleno,2017,Aug-17,Petrol,48347,1197 cc,1st Owner,DL7C,Manual,Third Party insurance,495500,520275,636917,21.4 kmpl,5,Grey,1197 CC,83.1bhp,115Nm
40,2017 Maruti Swift,2017,Sep-17,Petrol,35477,1197 cc,1st Owner,DL9C,Manual,Not Available,468000,491400,553690,20.4 kmpl,5,Silver,1197 CC,81.80bhp,113Nm
41,2016 Mahindra TUV 300,2016,Mar-16,Diesel,93893,1493 cc,2nd Owner,HR51,Automatic,Third Party insurance,650000,682500,1215461,18.49 kmpl,15,7,1493 CC,100bhp,230Nm
42,2015 Maruti Swift,2015,Aug-15,Diesel,78568,1248 cc,1st Owner,DL8C,Manual,Third Party insurance,405000,425250,708959,28.4 kmpl,5,Red,1248 CC,74bhp,190Nm
43,2014 Maruti Swift,2011,Jan-14,Petrol,78568,1197 cc,1st Owner,HR26,Manual,Third Party insurance,369500,387975,548912,18.6 kmpl,14,5,1197 CC,85.8bhp,114Nm
44,2019 Toyota Etios Liva,2019,Feb-19,Diesel,62642,1364 cc,1st Owner,DL3C,Manual,Third Party insurance,678000,711900,815738,23.59 kmpl,5,Other,1364 CC,67.04bhp,170Nm
45,2014 Maruti Wagon R Stingray,2013,Jan-14,Petrol,60783,998 cc,2nd Owner,HR26,Manual,Third Party insurance,333500,350175,500291,20.51 kmpl,14,5,998 CC,67.04bhp,90Nm
46,2018 Maruti Vitara Brezza,2018,Oct-18,Diesel,25440,1248 cc,1st Owner,DL1C,Manual,Not Available,815000,855750,1016982,24.3 kmpl,16,5,1248 CC,88.5bhp,200Nm
47,2019 Toyota Glanza,2019,Oct-19,Petrol,15051,1197 cc,1st Owner,UP16,Automatic,Not Available,787500,826875,1009735,19.56 kmpl,R16,5,1197 CC,81.80bhp,113Nm
48,2017 Ford Ecosport,2017,Apr-17,Diesel,32492,1498 cc,1st Owner,4 2022,Automatic,Manual,684500,718725,1039227,23 kmpl,5,Silver,1498 CC,98.96bhp,205Nm
49,2011 Maruti Swift,2011,Jul-11,Petrol,32492,1197 cc,2nd Owner,DL13,Manual,Third Party insurance,249000,261450,567040,16.1 kmpl,14,5,1197 CC,85,113Nm
50,2015 Maruti Eeco,2015,May-15,Petrol,10474,1196 cc,1st Owner,DL09,Manual,Third Party insurance,274000,287700,465474,15.37 kmpl,5,Grey,1196 CC,73bhp,101Nm
51,2013 Maruti Swift,2013,May-13,Diesel,99877,1248 cc,1st Owner,UP16,Manual,Third Party insurance,450000,472500,717885,22.9 kmpl,14,5,1248 CC,74bhp,190Nm
52,2015 Maruti Swift,2015,Aug-15,Petrol,67900,1197 cc,1st Owner,DL2C,Manual,Not Available,427500,448875,597382,22 kmpl,5,Grey,1197 CC,81.80bhp,113Nm
53,2016 Hyundai Grand i10,2016,Nov-16,Diesel,63759,1120 cc,2nd Owner,HR51,Manual,Third Party insurance,375000,393750,720700,24 kmpl,5,Other,1120 CC,70bhp,160Nm
54,2015 Toyota Etios Liva,2015,Jun-15,Diesel,63759,1364 cc,1st Owner,DL9C,Manual,Third Party insurance,340000,357000,756478,23.59 kmpl,5,Other,1364 CC,67.04bhp,170Nm
55,2013 Maruti Alto 800,2013,May-13,Petrol,69053,796 cc,1st Owner,DL5C,Manual,Not Available,171500,180075,347446,22.74 kmpl,5,White,796 CC,47.3bhp,69Nm
83,2016 Maruti Vitara Brezza,2016,Aug-16,Diesel,69053,1248 cc,1st Owner,DL8C,Manual,Third Party insurance,676000,709800,1016982,24.3 kmpl,16,5,1248 CC,88.5bhp,200Nm
84,2014 Maruti Swift,2014,May-14,Diesel,72653,1248 cc,1st Owner,UP16,Manual,Third Party insurance,411000,431550,790410,28.4 kmpl,5,White,1248 CC,74bhp,190Nm
85,2012 Renault Pulse,2012,Feb-12,Diesel,68798,1461 cc,2nd Owner,DL4C,Manual,Third Party insurance,203000,213150,787262,23.08 kmpl,15,5,1461 CC,63.1bhp,160Nm
86,2013 Ford Ecosport,2013,Aug-13,Diesel,70149,1498 cc,1st Owner,DL10,Manual,Not Available,405000,425250,990793,21.7 kmpl,5,Other,1498 CC,98.96bhp,215Nm
87,2019 Maruti Swift,2018,Apr-19,Diesel,56585,1248 cc,1st Owner,UP14,Automatic,Third Party insurance,711500,747075,842851,28.4 kmpl,5,Other,1248 CC,74bhp,190Nm
88,2019 Renault KWID,2019,Mar-19,Petrol,29196,999 cc,1st Owner,UP16,Manual,Third Party insurance,353994,371694,406259,23.01 kmpl,5,Grey,999 CC,67bhp,91Nm
89,2018 Volkswagen Ameo,2016,Jul-18,Petrol,39784,1198 cc,1st Owner,HR29,Manual,Third Party insurance,495744,520531,823325,17 kmpl,15,5,1198 CC,73.75bhp,110Nm
90,2016 Renault KWID,2016,May-16,Petrol,45430,799 cc,1st Owner,HR26,Manual,Third Party insurance,250500,263025,439535,25.17 kmpl,5,Red,799 CC,53.3bhp,72Nm
91,2016 Hyundai i20,2016,May-16,Diesel,24947,1396 cc,1st Owner,DL8C,Manual,Not Available,501500,526575,885355,22.54 kmpl,5,Red,1396 CC,88.73bhp,219.7Nm
92,2017 Ford Ecosport,2017,Mar-17,Diesel,83789,1498 cc,1st Owner,HR51,Manual,Not Available,614000,644700,1039227,23 kmpl,5,Silver,1498 CC,98.96bhp,205Nm
93,2018 Hyundai i20,2018,Nov-18,Petrol,38578,1197 cc,1st Owner,HR26,Automatic,Third Party insurance,748000,785400,931555,17.4 kmpl,15,5,1197 CC,81.86bhp,114.73nm
94,2016 Maruti Baleno,2016,Mar-16,Petrol,24290,1197 cc,1st Owner,DL12,Automatic,Third Party insurance,547500,574875,818742,21.4 kmpl,5,Blue,1197 CC,83.1bhp,115Nm
95,2013 Hyundai EON,2013,Feb-13,Petrol,59027,814 cc,1st Owner,HR26,Manual,Third Party insurance,222500,233625,425509,21.1 kmpl,5,Silver,814 CC,55.2bhp,74.5Nm
96,2013 Honda Brio,2013,Sep-13,Petrol,67159,1198 cc,1st Owner,HR26,Manual,Third Party insurance,296160,310968,472946,19.4 kmpl,5,Black,1198 CC,86.8bhp,109Nm
97,2015 Maruti Swift,2014,Jan-15,Diesel,78788,1248 cc,1st Owner,DL4C,Manual,Third Party insurance,365000,383250,724868,22.9 kmpl,14,5,1248 CC,74bhp,190Nm
98,2018 Maruti Vitara Brezza,2018,Mar-18,Diesel,20242,1248 cc,1st Owner,DL5C,Manual,Third Party insurance,731500,768075,884878,24.3 kmpl,5,Other,1248 CC,88.5bhp,200Nm
99,2018 Hyundai i20,2018,Nov-18,Petrol,38578,1197 cc,1st Owner,HR26,Automatic,Third Party insurance,748000,785400,931555,17.4 kmpl,15,5,1197 CC,81.86bhp,114.73nm
100,2016 Maruti Baleno,2016,Mar-16,Petrol,24290,1197 cc,1st Owner,DL12,Automatic,Third Party insurance,547500,574875,818742,21.4 kmpl,5,Blue,1197 CC,83.1bhp,115Nm
101,2013 Hyundai EON,2013,Feb-13,Petrol,59027,814 cc,1st Owner,HR26,Manual,Third Party insurance,222500,233625,425509,21.1 kmpl,5,Silver,814 CC,55.2bhp,74.5Nm
102,2013 Honda Brio,2013,Sep-13,Petrol,67159,1198 cc,1st Owner,HR26,Manual,Third Party insurance,296160,310968,472946,19.4 kmpl,5,Black,1198 CC,86.8bhp,109Nm
103,2015 Maruti Swift,2014,Jan-15,Diesel,78788,1248 cc,1st Owner,DL4C,Manual,Third Party insurance,365000,383250,724868,22.9 kmpl,14,5,1248 CC,74bhp,190Nm
104,2018 Maruti Vitara Brezza,2018,Mar-18,Diesel,20242,1248 cc,1st Owner,DL5C,Manual,Third Party insurance,731500,768075,884878,24.3 kmpl,5,Other,1248 CC,88.5bhp,200Nm
105,2016 Maruti Baleno,2016,Apr-16,Petrol,21582,1197 cc,1st Owner,HR10,Manual,Third Party insurance,510000,535500,929090,21.01 kmpl,R16,5,1197 CC,81.80bhp,113Nm
106,2014 Hyundai Grand i10,2014,Jun-14,Diesel,86933,1120 cc,1st Owner,DL8C,Manual,Third Party insurance,309000,324450,727711,24 kmpl,5,Other,1120 CC,70bhp,160Nm
107,2017 Maruti Ciaz,2017,Mar-17,Diesel,40961,1248 cc,2nd Owner,DL6C,Manual,Third Party insurance,565000,593250,1081699,28.09 kmpl,16,5,1248 CC,88.5bhp,200Nm
108,2015 Maruti Ciaz,2015,Nov-15,Petrol,58250,1373 cc,1st Owner,DL9C,Automatic,Third Party insurance,627500,658875,1111924,19.12 kmpl,15,5,1373 CC,91.1bhp,130Nm
109,2016 Maruti Wagon R Stingray,2016,Oct-16,Petrol,66067,998 cc,1st Owner,DL9C,Manual,Third Party insurance,360500,378525,500291,20.51 kmpl,14,5,998 CC,67.04bhp,90Nm
110,2018 Hyundai Grand i10,2017,Jan-18,Petrol,22841,1197 cc,1st Owner,DL9C,Manual,Third Party insurance,468000,491400,568532,18.9 kmpl,5,Other,1197 CC,82bhp,114Nm
111,2016 Maruti Swift,2016,Dec-16,Petrol,30069,1197 cc,1st Owner,DL9C,Manual,Not Available,403000,423150,553690,20.4 kmpl,5,Grey,1197 CC,81.80bhp,113Nm
112,2018 Maruti Swift,2018,Aug-18,Diesel,36780,1248 cc,1st Owner,DL6C,Automatic,Third Party insurance,732000,768600,917551,28.4 kmpl,15,5,1248 CC,74bhp,190Nm
113,2016 Hyundai i20,2016,Nov-16,Diesel,57732,1396 cc,1st Owner,HR51,Manual,Third Party insurance,522000,548100,876801,22.54 kmpl,5,White,1396 CC,88.73bhp,219.7Nm
114,2015 Hyundai EON,2014,Jan-15,Petrol,50196,814 cc,1st Owner,DL3C,Manual,Not Available,210000,220500,455676,21.1 kmpl,5,White,814 CC,55.2bhp,74.5Nm
115,2016 Hyundai Xcent,2015,Jan-16,Petrol,45479,1197 cc,2nd Owner,DL1C,Manual,Not Available,297000,311850,572578,19.1 kmpl,5,Silver,1197 CC,82bhp,114Nm
116,2016 Honda Jazz,2016,Jan-16,Petrol,52197,1199 cc,1st Owner,UP14,Manual,Third Party insurance,467026,490377,867436,16.6 kmpl,R15,5,1199 CC,88.50bhp,110Nm
117,2016 Hyundai Grand i10,2016,Jun-16,Petrol,77935,1197 cc,1st Owner,DL4C,Manual,Third Party insurance,412000,432600,597641,18.9 kmpl,5,Silver,1197 CC,82bhp,114Nm
118,2015 Maruti Alto 800,2015,Dec-15,Petrol,53670,796 cc,1st Owner,HR51,Manual,Third Party insurance,273500,287175,347446,22.74 kmpl,5,Silver,796 CC,47.3bhp,69Nm
119,2017 Mahindra TUV 300,2017,Feb-17,Diesel,53984,1493 cc,1st Owner,DL8C,Manual,Third Party insurance,504000,529200,1112028,18.49 kmpl,15,7,1493 CC,100bhp,240Nm
120,2013 Honda Amaze,2013,May-13,Diesel,82518,1498 cc,2nd Owner,HR29,Manual,Not Available,303000,318150,806736,25.8 kmpl,5,Other,1498 CC,98.6bhp,200Nm
121,2016 Maruti Baleno,2016,Jul-16,Petrol,39350,1197 cc,1st Owner,UP14,Manual,Third Party insurance,485000,509250,852273,21.01 kmpl,R16,5,1197 CC,81.80bhp,113Nm
122,2014 Honda City,2014,Jul-14,Petrol,93090,1497 cc,1st Owner,HR26,Automatic,Third Party insurance,646500,678825,1309954,18 kmpl,15,5,1497 CC,117.3bhp,145Nm
123,2018 Hyundai i20,2018,Mar-18,Petrol,66220,1197 cc,1st Owner,HR51,Manual,Third Party insurance,651000,683550,925863,21 kmpl,5,White,1197 CC,81.86bhp,114.74nm
124,2019 Ford Figo,2019,Jun-19,Petrol,28638,1196 cc,1st Owner,HR29,Manual,Third Party insurance,555023,582774,808486,18.16 kmpl,14,5,1196 CC,86.8bhp,112Nm
125,2018 Hyundai Xcent,2018,Nov-18,Petrol,33933,1197 cc,1st Owner,DL1C,Manual,Not Available,480500,504525,724127,20.14 kmpl,5,Grey,1197 CC,81.86bhp,113.75nm
126,2012 Hyundai i10,2011,Jan-12,Petrol,82238,1197 cc,1st Owner,UP16,Manual,Third Party insurance,259500,272475,543767,20.36 kmpl,13,5,1197 CC,78.9bhp,111.8Nm
127,2018 Maruti Ignis,2017,Jan-18,Petrol,39386,1197 cc,1st Owner,HR87,Manual,Third Party insurance,599000,628950,751351,20.89 kmpl,15,5,1197 CC,81.80bhp,113Nm
128,2018 Hyundai Grand i10,2017,Feb-18,Petrol,40280,1197 cc,1st Owner,DL7C,Manual,Third Party insurance,483000,507150,617185,18.9 kmpl,5,Silver,1197 CC,82bhp,114Nm
129,2015 Ford Ecosport,2015,Oct-15,Petrol,27896,1499 cc,1st Owner,DL12,Manual,Third Party insurance,501000,526050,864725,15.8 kmpl,5,Other,1499 CC,110bhp,140Nm
130,2017 Maruti Swift,2017,Apr-17,Petrol,15259,1197 cc,1st Owner,DL3C,Manual,Third Party insurance,436000,457800,546882,20.4 kmpl,5,Other,1197 CC,83.11bhp,113Nm
131,2018 Maruti Vitara Brezza,2018,Mar-18,Diesel,44832,1248 cc,1st Owner,HR27,Manual,Third Party insurance,763500,801675,929655,24.3 kmpl,5,Red,1248 CC,88.5bhp,200Nm
132,2016 Hyundai EON,2016,Jul-16,Petrol,39804,814 cc,1st Owner,HR26,Manual,Not Available,270500,284025,365475,21.1 kmpl,12,5,814 CC,55.2bhp,74.5Nm
133,2017 Maruti Ignis,2017,May-17,Petrol,32643,1197 cc,1st Owner,DL6C,Manual,Third Party insurance,503196,528356,751351,20.89 kmpl,15,5,1197 CC,81.80bhp,113Nm
134,2016 Ford Figo Aspire,2016,Mar-16,Petrol,51315,1196 cc,2nd Owner,DL12,Manual,Third Party insurance,338500,355425,605889,18.16 kmpl,5,Grey,1196 CC,86.8bhp,112Nm
135,2010 Honda City,2009,Mar-10,Petrol,65605,1497 cc,2nd Owner,HR11,Manual,Third Party insurance,270000,283500,929324,17 kmpl,15,5,1497 CC,"118PS at 6,600 rpm",146Nm at 4800 rpm
136,2014 Maruti Swift,2014,Sep-14,Diesel,84743,1248 cc,1st Owner,DL9C,Manual,Not Available,387000,406350,717885,22.9 kmpl,14,5,1248 CC,74bhp,190Nm
137,2019 Maruti Vitara Brezza,2019,May-19,Diesel,49697,1248 cc,1st Owner,4 2022,Automatic,Automatic,830000,871500,1069846,24.3 kmpl,16,5,1248 CC,88.5bhp,200Nm
138,2013 Hyundai EON,2013,Aug-13,Petrol,66281,814 cc,1st Owner,DL7C,Manual,Not Available,225500,236775,422034,21.1 kmpl,5,Silver,814 CC,55.2bhp,74.5Nm
139,2017 Maruti Ignis,2017,Sep-17,Petrol,26569,1197 cc,1st Owner,DL2C,Manual,Third Party insurance,469000,492450,637224,20.89 kmpl,5,Other,1197 CC,81.80bhp,113Nm
140,2011 Hyundai i10,2011,Jul-11,Petrol,75789,1197 cc,2nd Owner,HR51,Manual,Third Party insurance,236000,247800,525181,20.36 kmpl,13,5,1197 CC,78.9bhp,111.8Nm
141,2018 Maruti Ignis,2018,Apr-18,Petrol,44458,1197 cc,1st Owner,HR10,Manual,Third Party insurance,525500,551775,593190,20.89 kmpl,5,Other,1197 CC,81.80bhp,113Nm
142,2015 Maruti Swift,2015,Sep-15,Petrol,19419,1197 cc,1st Owner,DL3C,Manual,Third Party insurance,401500,421575,529062,20.4 kmpl,5,Other,1197 CC,81.80bhp,113Nm
143,2019 Hyundai EON,2018,Feb-19,Petrol,31472,814 cc,1st Owner,UP14,Manual,Third Party insurance,298000,312900,471939,21.1 kmpl,5,Other,814 CC,55.2bhp,74.5Nm
144,2016 Maruti Eeco,2016,Jun-16,CNG,58426,1196 cc,1st Owner,DL08,Manual,Third Party insurance,305000,320250,544727,21.94 km/kg,5,Silver,1196 CC,61.7bhp,85Nm
145,2018 Maruti Ignis,2018,May-18,Petrol,19635,1197 cc,1st Owner,HR50,Manual,Third Party insurance,431000,452550,526662,20.89 kmpl,5,White,1197 CC,81.80bhp,113Nm
146,2015 Hyundai Xcent,2015,Mar-15,Diesel,19635,1120 cc,1st Owner,DL08,Manual,Third Party insurance,364500,382725,783707,24.4 kmpl,14,5,1120 CC,71.01bhp,180.4Nm
147,2010 Hyundai i20,2010,Mar-10,Petrol,78023,1197 cc,1st Owner,DL3C,Manual,Third Party insurance,230000,241500,667907,17 kmpl,14,5,1197 CC,80 PS at 5200 rpm,"11.4 kgm at 4,000 rpm"
148,2016 Hyundai Grand i10,2016,Oct-16,Diesel,83466,1120 cc,2nd Owner,DL4C,Manual,Not Available,342000,359100,720700,24 kmpl,5,White,1120 CC,70bhp,160Nm
149,2013 Hyundai EON,2013,Aug-13,Petrol,46694,814 cc,1st Owner,HR26,Manual,Third Party insurance,220500,231525,422034,21.1 kmpl,5,White,814 CC,55.2bhp,74.5Nm
150,2013 Honda Amaze,2013,Aug-13,Diesel,32832,1498 cc,1st Owner,DL4C,Manual,Third Party insurance,273500,287175,806736,25.8 kmpl,5,Other,1498 CC,98.6bhp,200Nm
151,2010 Hyundai i10,2009,Jan-10,Petrol,80513,1197 cc,1st Owner,HR26,Manual,Not Available,197500,207375,525181,20.36 kmpl,13,5,1197 CC,78.9bhp,111.8Nm
152,2019 Maruti Ignis,2019,May-19,Petrol,9779,1197 cc,1st Owner,DL3C,Manual,Third Party insurance,450000,472500,588386,20.89 kmpl,5,Silver,1197 CC,81.80bhp,113Nm
153,2018 Maruti Eeco,2018,Sep-18,Petrol,18107,1196 cc,1st Owner,HR51,Manual,Third Party insurance,315000,330750,481899,15.37 kmpl,5,Other,1196 CC,73bhp,101Nm
154,2015 Honda City,2015,Jun-15,Petrol,98792,1497 cc,1st Owner,HR26,Manual,Third Party insurance,683988,718187,1221581,17.4 kmpl,15,5,1497 CC,117.3bhp,145Nm
155,2018 Hyundai i20,2017,Jan-18,Petrol,21993,1197 cc,1st Owner,DL7C,Manual,Third Party insurance,651500,684075,802449,18.6 kmpl,16,5,1197 CC,81.83bhp,114.7Nm
156,2016 Maruti Baleno,2016,Jun-16,Petrol,47156,1197 cc,2nd Owner,UP16,Manual,Third Party insurance,482500,506625,701952,21.4 kmpl,5,Other,1197 CC,83.1bhp,115Nm
157,2012 Maruti Alto K10,2012,Jun-12,Petrol,27994,998 cc,1st Owner,UP14,Manual,Third Party insurance,226608,237938,446517,23.95 kmpl,5,Other,998 CC,67.05bhp,90Nm
158,2011 Hyundai i10,2011,Dec-11,Petrol,27994,1197 cc,1st Owner,UP67,Manual,Third Party insurance,222000,233100,544050,20.36 kmpl,13,5,1197 CC,78.9bhp,111.8Nm
159,2016 Ford Ecosport,2016,Jul-16,Diesel,27994,1498 cc,1st Owner,6 2021,Automatic,Manual,622000,653100,1294316,23 kmpl,16,5,1498 CC,98.96bhp,205Nm
160,2014 Ford Ecosport,2014,Oct-14,Diesel,83321,1498 cc,1st Owner,DL10,Manual,Third Party insurance,502500,527625,981553,22.7 kmpl,5,Black,1498 CC,89.84bhp,204Nm
161,2018 Honda City,2018,Aug-18,Petrol,22798,1497 cc,1st Owner,UP14,Manual,Third Party insurance,903000,948150,1232879,17.4 kmpl,15,5,1497 CC,117.6bhp,145Nm
162,2015 Honda City,2015,Mar-15,Petrol,30067,1497 cc,1st Owner,HR26,Automatic,Third Party insurance,643000,675150,1202900,18 kmpl,5,Other,1497 CC,117.3bhp,145Nm
163,2019 Hyundai Grand i10,2018,Jan-19,Petrol,28944,1197 cc,1st Owner,HR26,Manual,Third Party insurance,465000,488250,648328,18.9 kmpl,5,Silver,1197 CC,81.86bhp,113.75nm
164,2012 Maruti Swift,2012,Dec-12,Diesel,65437,1248 cc,1st Owner,DL2C,Manual,Third Party insurance,240000,252000,613393,22.9 kmpl,14,5,1248 CC,74bhp,190Nm
165,2014 Maruti Alto K10,2014,Nov-14,Petrol,77987,998 cc,1st Owner,HR26,Manual,Third Party insurance,245500,257775,346530,20.92 kmpl,13,5,998 CC,67.1bhp,90Nm
166,2015 Maruti Swift Dzire,2015,Apr-15,Diesel,57232,1248 cc,1st Owner,DL9C,Manual,Not Available,456500,479325,824977,26.59 kmpl,5,Silver,1248 CC,74bhp,190Nm
167,2011 Hyundai i10,2011,Nov-11,Petrol,57232,1197 cc,2nd Owner,DL03,Automatic,Third Party insurance,268000,281400,586549,16.95 kmpl,13,5,1197 CC,78.9bhp,111.8Nm
168,2016 Maruti Ciaz,2016,Apr-16,Diesel,48957,1248 cc,2nd Owner,DL3C,Manual,Third Party insurance,558500,586425,1221355,28.09 kmpl,16,5,1248 CC,88.5bhp,200Nm
169,2012 Honda Brio,2012,Nov-12,Petrol,37297,1198 cc,1st Owner,HR26,Manual,Third Party insurance,260000,273000,531159,19.4 kmpl,5,Other,1198 CC,86.8bhp,109Nm
170,2016 Maruti Ciaz,2016,Apr-16,Diesel,59715,1248 cc,1st Owner,DL8C,Manual,Third Party insurance,527500,553875,942056,28.09 kmpl,5,Other,1248 CC,88.5bhp,200Nm
171,2016 Maruti Vitara Brezza,2016,Apr-16,Diesel,80291,1248 cc,1st Owner,DL9C,Manual,Third Party insurance,628000,659400,903820,24.3 kmpl,5,Other,1248 CC,88.5bhp,200Nm
